atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,17,4.77,Leonardo Rodrigues Condé,3.81,6,8.0,21,leo-conde,7,-0.76,,,,,,,,,,,,,,,,,,,,5.0
Fábio,Fábio,37656,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,20,4.41,Fábio Deivson Lopes Maciel,5.0,1,9.5,21,fabio,7,0.03,,1.0,,71.0,,,,,,4.0,,,,24.0,,1.0,,,4.0,
Thiago Silva,T. Silva,37715,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,2,2.5,Thiago Emiliano da Silva,5.8,3,7.07,21,thiago-silva,5,0.99,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,
Hulk,Hulk,39148,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,14,4.86,Givanildo Vieira de Souza,3.2,5,11.6,21,hulk,7,-1.1,3.0,1.0,,,,5.0,9.0,8.0,9.0,34.0,,2.0,,,5.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,15,2.42,Alan Steven Franco Palma,0.0,4,4.99,21,alan-franco,6,0.0,1.0,3.0,,,,23.0,23.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,19,5.57,Vagner Carmo Mancini,0.0,6,8.75,21,vagner-mancini,7,0.0,,,,,,,,,,,,,,,,,,,,9.0
Dorival Júnior,D. Júnior,40990,SAO,276,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,13,4.17,Dorival Silvestre Júnior,0.0,6,9.61,21,dorival-junior,7,0.0,,,,,,,,,,,,,,,,,,,,1.0
Willian,Willian,42135,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,8,1.06,Willian Borges da Silva,0.0,4,3.74,21,willian,6,0.0,,,,,,2.0,1.0,1.0,2.0,6.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,0.4,Osvaldo Lourenço Filho,0.0,5,4.07,21,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,21,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Cuca,Cuca,42411,SAN,277,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,12,5.67,Alexi Stival,0.0,6,10.32,21,cuca,7,0.0,,,,,,,,,,,,,,,,,,,,4.0
Fagner,Fagner,42500,CRU,283,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,14,3.01,Fagner Conserva Lemos,0.0,2,5.19,21,fagner,7,0.0,3.0,3.0,,,,15.0,18.0,,,6.0,,,,,,,,,2.0,
Walter,Walter,51413,MIR,2305,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,17,2.76,Walter Leandro Capeloza Artune,0.0,1,5.17,21,walter,7,0.0,,3.0,,53.0,,,,,,,,,,23.0,,1.0,,,1.0,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,16,4.48,Everton Augusto de Barros Ribeiro,3.5,4,8.86,21,everton-ribeiro,6,0.36,4.0,1.0,,,,22.0,12.0,4.0,6.0,28.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,15,3.53,Alex Sandro Lobo Silva,-0.3,2,8.2,21,alex-sandro,7,-0.6,,3.0,,,,16.0,20.0,,1.0,14.0,,,,,,,,,6.0,
Ganso,Ganso,62977,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,0.85,Paulo Henrique Chagas de Lima,0.0,4,3.27,21,ganso,6,0.0,,1.0,,,,4.0,5.0,1.0,,5.0,1.0,,,,,,,,,
