"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","FF","DD","GS","FD","G","A","FT","I","PP","CV","GC","DP"
"1","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,11,"FLA","zag","Nulo",0,12.95,0,3.7,3,1,1,2,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,11,"PAL","mei","Nulo",0,8.31,0,1.55,6,2,9,5,8,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,11,"ATL","tec","Provável",7.23,7.1,0.79,3.21,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,11,"STC","gol","Provável",2.2,6.68,0.71,2.41,11,1,NA,2,5,NA,1,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Leonardo José Aparecido de Moura","Leonardo","https://s.glbimg.com/es/sde/f/2016/05/01/17c90d261be180237a80821b235423f3_FORMATO.jpeg",36591,11,"STC","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,11,"COR","mei","Contundido",0,7.43,0,0.05,2,NA,2,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,11,"ATL","zag","Provável",4.6,3.7,-0.52,6.2,5,1,5,5,15,3,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"8","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,11,"FLU","ata","Provável",2.5,6.07,-1.05,2.74,8,NA,3,4,12,2,NA,3,NA,NA,4,1,1,1,2,NA,NA,NA,NA
"9","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,11,"SAO","mei","Provável",-0.2,11.32,-0.5,-0.97,4,1,3,1,15,NA,NA,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA
"10","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2016/04/28/ef1d2a5ff504e9d69923adec9d7edfe3_FORMATO.png",37608,11,"COR","mei","Contundido",0,2.88,0,1.94,5,3,5,NA,15,9,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"11","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/09/8f5736c815db151f6d5acaeb13711516_FORMATO.png",37623,11,"COR","zag","Nulo",0,7.2,0,2.3,8,3,12,6,20,12,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"12","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/c6897c70d68e2827f58c99a251df8b57_FORMATO.png",36940,11,"SPO","tec","Provável",6.29,8.57,0.81,3.24,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,11,"VIT","ata","Provável",2.6,6.54,0.45,1.17,10,1,11,18,31,4,NA,11,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA
"14","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,11,"FIG","ata","Provável",-1.7,11.74,-0.71,4.5,9,2,19,10,22,1,NA,10,NA,NA,6,5,NA,2,12,NA,NA,NA,NA
"15","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,11,"FLU","lat","Nulo",0,8.98,0,2.73,10,2,6,5,27,11,4,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"16","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,11,"PAL","zag","Provável",-2,4.26,-1.51,2.28,5,2,8,8,8,3,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"17","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,11,"FIG","mei","Nulo",0,6.35,0,4.3,2,NA,2,3,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"18","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,11,"CRU","gol","Provável",3.7,10.18,-0.48,1.67,11,2,1,NA,7,NA,2,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/30/1c83a2b2521974f5bd8599c7f316093a_FORMATO.png",37673,11,"PAL","ata","Suspenso",0,7.42,0,1.26,5,NA,8,2,8,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
"20","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,11,"CRU","mei","Provável",2.7,9.63,-1.81,4.28,11,2,13,16,36,28,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"21","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,11,"FLU","mei","Provável",2.1,8,-0.48,1.71,11,2,18,25,41,8,NA,10,NA,NA,5,1,1,NA,7,1,NA,NA,NA
"22","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,11,"PAL","mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/05/01/25183d41515e2ce759f2ba9f81973c85_FORMATO.jpeg",37701,11,"STC","lat","Provável",0,7.94,0,2.83,7,2,5,3,14,10,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"24","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,11,"CHA","gol","Provável",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,11,"SAN","mei","Nulo",0,6.46,0,-0.4,2,NA,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"26","Danilo Leandro Dias","Danilo Dias",NA,37894,11,"AME","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,11,"PON","mei","Nulo",0,4.05,0,0.34,9,2,8,8,13,3,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"28","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,11,"AME","ata","Nulo",-1.3,3.64,-0.27,1.61,7,1,4,5,7,1,NA,6,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA
"29","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/06/10/647d79ec841a6397b9bdb3cbea8b8c24_FORMATO.jpeg",37792,11,"COR","mei","Provável",-0.2,1.45,-0.53,0.73,7,2,16,6,12,9,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"30","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,11,"FLU","mei","Nulo",0,8.51,0,3.23,4,NA,7,3,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,11,"COR","mei","Provável",0.3,15.88,-0.61,6.34,8,NA,9,24,29,17,NA,10,NA,NA,4,NA,3,1,3,NA,1,NA,NA
"32","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/05/09/8ba64e76cef79e4543ffd32d93976a9e_FORMATO.jpeg",37790,11,"COR","lat","Contundido",0,6.21,0,1.05,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,11,"SAO","zag","Suspenso",-6.4,11.05,-3.28,3.5,8,3,8,3,17,6,4,2,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA
"34","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,11,"ATL","zag","Nulo",0,9.61,0,3.5,4,1,5,5,11,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,11,"CHA","mei","Provável",1.3,3.9,-0.14,0.87,10,4,19,11,27,11,NA,3,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"36","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,11,"GRE","gol","Provável",10.7,13.42,1.9,5.13,8,1,NA,1,5,NA,5,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,11,"PAL","gol","Provável",1.1,13.79,-0.68,2.45,11,1,NA,1,12,NA,4,NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,11,"SPO","zag","Provável",0.4,7.29,-0.53,1.59,11,1,10,5,43,14,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"39","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/06/17/9b0b5790f058efc782c5b548946075bf_FORMATO.png",38162,11,"ATL","ata","Provável",1.5,18.41,-1.31,3.61,11,2,25,29,31,5,NA,12,NA,NA,5,4,NA,NA,6,NA,NA,NA,NA
"40","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,11,"GRE","ata","Nulo",-1.4,3.67,-0.52,1.17,7,1,5,1,5,2,NA,4,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA
"41","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,11,"BOT","gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,11,"STC","ata","Provável",7.3,23.68,0.9,6.09,10,2,32,22,19,1,NA,7,NA,NA,5,8,1,NA,10,NA,NA,NA,NA
"43","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,11,"ATL","ata","Provável",9.6,21.63,2.29,4.53,7,1,9,10,22,3,NA,1,NA,NA,3,3,2,NA,6,NA,NA,NA,NA
"44","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2016/06/14/76e929637872064ddf9da8c9e33c7361_FORMATO.jpeg",38229,11,"ATL","lat","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/05/02/5f7bfa11c186ee13301ee12bd7f34f0f_FORMATO.jpeg",38287,11,"PON","ata","Provável",0,4.79,0,1.38,7,1,5,4,13,2,NA,6,NA,NA,3,NA,1,1,6,NA,NA,NA,NA
"46","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,11,"PON","ata","Contundido",0,5.03,0,0.39,9,3,13,6,12,2,NA,6,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA
"47","Alex Raphael Meschini","Alex","https://s.glbimg.com/es/sde/f/2016/04/30/d4e8412bf508df299340807940cfcb38_FORMATO.png",38219,11,"INT","mei","Nulo",7.3,5.14,1.19,1.29,9,2,9,7,13,5,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
"48","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,11,"FLU","gol","Provável",1,7.92,0.84,1.53,11,NA,NA,NA,4,NA,4,NA,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2016/04/20/a9fe945df23da97fd8ba3c0574058bbf_FORMATO.png",38311,11,"FLA","mei","Provável",-1.9,8.89,-0.45,3.52,10,NA,12,14,22,23,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"50","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,11,"ATL","zag","Provável",4.9,8.46,0.29,3.32,10,1,7,7,26,6,4,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"51","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,11,"BOT","zag","Provável",-1.1,4.26,-1.65,2.26,11,NA,16,12,29,17,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"52","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2016/04/30/27dcb564ab7d595bb92c4d5fe4904a62_FORMATO.png",38196,11,"GRE","mei","Nulo",0,7.98,0,2.11,8,3,10,13,37,15,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"53","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2016/04/26/765a5089ecb5053c65f7168963c61b74_FORMATO.png",51318,11,"ATL","mei","Contundido",-0.3,8.06,-0.61,3.79,8,2,9,12,28,16,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
"54","Fernando Leal Fonseca","Fernando Leal","https://s.glbimg.com/es/sde/f/2016/05/09/b4d5d9d8070f8826d346104d0f83e14a_FORMATO.png",38350,11,"AME","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/f9c95517b0a6cf130d7f84e6aab3bb68_FORMATO.png",38425,11,"PON","zag","Provável",1.6,5.96,0.42,3.01,8,2,7,8,9,13,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"56","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2016/05/01/02e50e98f3a67626dd1c651cdd042e54_FORMATO.png",51415,11,"PAL","zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Walter Leandro Capeloza Artume","Walter","https://s.glbimg.com/es/sde/f/2016/04/28/9520a016aaf4604a0c75d928046c8bd9_FORMATO.png",51413,11,"COR","gol","Contundido",0,12.43,0,6.11,8,NA,NA,1,2,NA,4,NA,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Rafael Bastos","Rafael Bastos","https://s.glbimg.com/es/sde/f/2016/06/15/c40ea230b7759a44f8005d4a1ff20ab2_FORMATO.png",51476,11,"CHA","mei","Nulo",1.2,9.65,0.1,2.63,8,2,12,7,7,9,NA,4,NA,NA,5,1,NA,NA,3,NA,NA,NA,NA
"59","Giuliano Victor de Paula","Giuliano","https://s.glbimg.com/es/sde/f/2016/04/30/6abcfcc0e937e32dd475d4322fab30f8_FORMATO.png",51548,11,"GRE","mei","Provável",-0.3,13.42,-1.08,4.85,11,NA,12,9,37,13,NA,6,NA,NA,8,3,1,1,2,NA,NA,NA,NA
"60","Adalberto dos Santos Rodrigues","Adalberto","https://s.glbimg.com/es/sde/f/2016/05/09/8a1bf4ce5ccc93ee1da6783ea2355fd0_FORMATO.png",51549,11,"AME","zag","Provável",-3.7,4.74,-0.94,4.33,6,1,7,7,25,5,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA
"61","Alison Wágner Lira Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/09/d7263e570ed2a87bc24ead8f629b3d34_FORMATO.png",51702,11,"AME","zag","Provável",0,2.04,0,0,4,1,2,4,11,2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"62","Bruno Rangel Domingues","Bruno Rangel","https://s.glbimg.com/es/sde/f/2016/04/27/3c7ecd662014838c83e615e22a14c643_FORMATO.png",51683,11,"CHA","ata","Provável",2.6,15.29,0.08,5.88,11,1,21,17,14,7,NA,5,NA,NA,4,7,NA,NA,5,NA,NA,NA,NA
"63","José Nivaldo Martins Constante","Nivaldo","https://s.glbimg.com/es/sde/f/2016/04/27/60b12bac28785d18e714ae866c98e6e7_FORMATO.png",52897,11,"CHA","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2016/04/28/b19790a721b5fdde81e82943deee9414_FORMATO.png",51705,11,"CRU","zag","Provável",-2.7,9.54,-1.56,3.47,9,3,9,4,15,13,2,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"65","Tiago dos Santos Alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2016/05/01/5f47ce9d3a4af5acb91336921bbf7c64_FORMATO.png",51495,11,"PON","zag","Nulo",0,3.08,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/06/28/b3229ad78369684e9d9ac48e51678043_FORMATO.jpeg",52253,11,"FLA","zag","Provável",3,6.17,-0.28,6.15,4,NA,1,1,11,4,2,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"67","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2016/06/24/06809d7c812c5b48d71d3fe61d7d0cff_FORMATO.png",52674,11,"AME","lat","Nulo",0,2.27,0,2.9,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"68","Ytalo José Oliveira dos Santos","Ytalo","https://s.glbimg.com/es/sde/f/2016/06/28/e35194e5109e803d5a43e80e3ffdea81_FORMATO.jpeg",53148,11,"SAO","ata","Nulo",6.4,5.74,1.17,4.06,8,NA,2,5,7,8,NA,5,NA,NA,5,1,NA,1,1,NA,NA,NA,NA
"69","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2016/05/25/7b9ce78a7438f2bac4a0594608654c28_FORMATO.jpeg",53669,11,"FIG","ata","Nulo",0.6,3.15,-0.12,2.02,6,NA,4,7,9,3,NA,1,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA
"70","Antonio Eduardo Pereira dos Santos","Kanu",NA,51792,11,"VIT","zag","Provável",-0.2,3.06,-0.63,2.83,3,1,3,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"71","Willians Domingos Fernandes","Willians","https://s.glbimg.com/es/sde/f/2016/04/28/ddbf7a8cf8492557895f2514f35971d3_FORMATO.png",54424,11,"COR","mei","Nulo",0.5,4.55,0.04,-0.15,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,11,"BOT","lat","Provável",8.8,9.46,0.59,4.53,9,1,1,5,32,17,1,NA,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA
"73","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2016/06/28/53d1f07a9ec5a64b1002bc9672260167_FORMATO.jpeg",54395,11,"COR","mei","Contundido",0,11.44,0,0.67,3,1,2,2,8,2,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"74","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2016/05/01/888bd2ad97a3e922521ae1bf34c965bd_FORMATO.png",54797,11,"SPO","ata","Nulo",0,2.77,0,0.32,5,NA,1,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"75","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2016/04/28/fedb726ec6d4804d5d34bf905cceca24_FORMATO.png",56102,11,"COR","mei","Provável",-1,5.81,0,2.04,10,4,17,4,23,13,NA,6,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA
"76","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2016/04/26/c7a8380a02c4515641cb7be29a3a8f5a_FORMATO.png",60784,11,"ATL","mei","Nulo",0,10.58,0,3.74,9,1,8,13,16,17,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"77","Edmílson dos Santos Silva","Edmílson","https://s.glbimg.com/es/sde/f/2016/05/20/f5d805e44f2c8b3736ac44c360e1b82f_FORMATO.jpeg",55519,11,"SPO","ata","Provável",0,6.54,-0.5,2.83,8,2,8,5,12,5,NA,6,NA,NA,7,2,NA,NA,8,NA,NA,NA,NA
"78","Cristóvão Borges dos Santos","Cristóvão Borges","https://s.glbimg.com/es/sde/f/2016/06/23/27eb6c77134b3b002a464c8eb1685761_FORMATO.jpeg",60752,11,"COR","tec","Provável",3.66,12.34,-0.03,3.47,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Vinícius Soares Eutropio","Vinícius Eutrópio","https://s.glbimg.com/es/sde/f/2016/06/23/6c8885441c553285d3f9f37edc2cfcb7_FORMATO.png",60780,11,"FIG","tec","Provável",3.94,8.74,0.06,3.57,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/30/6dd38f550a44a2bcb5094495271fd09a_FORMATO.png",60788,11,"INT","mei","Nulo",4.2,3.92,0.1,2.2,2,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"81","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2016/04/26/832210cff768e7a0bcc99eadd2bf79d1_FORMATO.png",52950,11,"ATL","gol","Provável",7.4,11.87,1.69,0.7,10,NA,NA,1,11,1,2,NA,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2016/04/28/667243f1202f23bca573f1ddbb3442e2_FORMATO.png",60819,11,"CRU","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Felipe Azevedo dos Santos","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2016/05/01/b65f07ed24924fb1d54139f6b07a0ec5_FORMATO.png",60825,11,"PON","ata","Provável",-5.4,14.78,-1.63,4.72,10,1,8,20,36,9,NA,9,NA,NA,6,4,1,NA,2,1,NA,1,NA
"84","Ananias Elói Castro Monteiro","Ananias","https://s.glbimg.com/es/sde/f/2016/04/27/0dead0d45be78ee38c88ac55e4b5a928_FORMATO.png",61135,11,"CHA","ata","Provável",9.2,4.38,1.82,1.98,4,NA,4,5,6,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"85","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2016/04/28/fcb4a31eaeed96a5abb3056b698207d1_FORMATO.png",61149,11,"COR","ata","Nulo",2.2,7.83,-0.7,3.92,5,NA,6,4,10,2,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"86","Pablo de Barros Paulino","Pablo","https://s.glbimg.com/es/sde/f/2016/05/09/35384d66b2f806991c3980f871525fe1_FORMATO.png",60794,11,"AME","lat","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
